Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market sell,2021-03-12 20:45:00,US2788651006,ECL,Ecolab,0.00657,214.25,USD,1.39368,0.01,GBP,1.01,GBP,,,,,,,EOF1186977657,,,
Market sell,2021-03-12 20:45:09,US2910111044,EMR,Emerson Electric,0.015071,91.99,USD,1.38638,0,GBP,1,GBP,,,,,,,EOF1186977688,,,
Market sell,2021-03-12 20:45:12,US26441C2044,DUK,Duke Energy,0.015589,91.36,USD,1.39628,0.02,GBP,1.02,GBP,,,,,,,EOF1186977705,,,
Market sell,2021-03-12 20:45:19,US3848021040,GWW,WW Grainger,0.0034541,394.27,USD,1.38964,-0.02,GBP,0.98,GBP,,,,,,,EOF1186977716,,,
Market sell,2021-03-12 20:45:25,US4592001014,IBM,IBM,0.0113642,127.38,USD,1.39189,0.03,GBP,1.04,GBP,,,,,,,EOF1186977737,,,
Market sell,2021-03-12 20:45:30,US4523081093,ITW,Illinois Tool Works,0.0065319,216.24,USD,1.39847,0.01,GBP,1.01,GBP,,,,,,,EOF1186977752,,,
Market sell,2021-03-12 20:45:35,US4781601046,JNJ,Johnson & Johnson,0.0088283,159.9,USD,1.39766,0.01,GBP,1.01,GBP,,,,,,,EOF1186977801,,,
Market sell,2021-03-12 20:45:49,US30231G1022,XOM,Exxon Mobil,0.023728,61.91,USD,1.39904,0.01,GBP,1.05,GBP,,,,,,,EOF1186977870,,,
Market sell,2021-03-12 20:45:55,US9311421039,WMT,Walmart,0.0107107,134.34,USD,1.39696,0.03,GBP,1.03,GBP,,,,,,,EOF1186977886,,,
Market sell,2021-03-12 20:46:06,US92826C8394,V,Visa,0.0063839,224.43,USD,1.391,0.03,GBP,1.03,GBP,,,,,,,EOF1186977930,,,
Market sell,2021-03-12 20:46:15,US9024941034,TSN,Tyson Foods,0.018816,75.48,USD,1.39238,0.02,GBP,1.02,GBP,,,,,,,EOF1186977957,,,
Market sell,2021-03-12 20:46:20,US74144T1088,TROW,T Rowe Price,0.007962,173.62,USD,1.39632,-0.01,GBP,0.99,GBP,,,,,,,EOF1186977971,,,
Market sell,2021-03-12 20:46:35,US8718291078,SYY,Sysco,0.01677,83.11,USD,1.39375,0,GBP,1,GBP,,,,,,,EOF1186978033,,,
Market sell,2021-03-12 20:46:45,US8621211007,STOR,STORE Capital,0.042658,33.63,USD,1.3928,0.03,GBP,1.03,GBP,,,,,,,EOF1186978058,,,
Market sell,2021-03-12 20:46:54,US85254J1025,STAG,STAG Industrial,0.042763,33.26,USD,1.3944,0.02,GBP,1.02,GBP,,,,,,,EOF1186978079,,,
Market sell,2021-03-12 20:47:05,US8243481061,SHW,Sherwin-Williams,0.0020352,709.01,USD,1.38747,0.04,GBP,1.04,GBP,,,,,,,EOF1186978118,,,
Market sell,2021-03-12 20:47:25,US8552441094,SBUX,Starbucks,0.0131865,107.69,USD,1.3922,0.02,GBP,1.02,GBP,,,,,,,EOF1186978198,,,
Market sell,2021-03-12 20:47:29,CA82028K2002,SJR,Shaw Communications,0.073978,19.17,USD,1.39035,0.02,GBP,1.02,GBP,,,,,,,EOF1186978216,,,
Market sell,2021-03-12 20:47:32,US6935061076,PPG,PPG Industries,0.0096552,144.99,USD,1.3999,0,GBP,1,GBP,,,,,,,EOF1186978236,,,
Market sell,2021-03-12 20:47:33,CA7800871021,RY,Royal Bank of Canada,0.015526,93.19,USD,1.39121,0.04,GBP,1.04,GBP,,,,,,,EOF1186978244,,,
Market sell,2021-03-12 20:47:42,US7181721090,PM,Philip Morris International,0.016041,87.71,USD,1.39302,0.01,GBP,1.01,GBP,,,,,,,EOF1186978268,,,
Market sell,2021-03-12 20:47:49,US7427181091,PG,Procter & Gamble,0.0109802,128.23,USD,1.39405,0.01,GBP,1.01,GBP,,,,,,,EOF1186978298,,,
Market sell,2021-03-12 20:47:59,US7561091049,O,Realty Income,0.023196,62.73,USD,1.39912,0.04,GBP,1.04,GBP,,,,,,,EOF1186978324,,,
Market sell,2021-03-12 20:48:05,US00206R1023,T,AT&T,0.046395,29.85,USD,1.39887,-0.01,GBP,0.99,GBP,,,,,,,EOF1186978333,,,
Market sell,2021-03-12 20:48:06,US7134481081,PEP,PepsiCo,0.0103726,133.18,USD,1.39537,-0.01,GBP,0.99,GBP,,,,,,,EOF1186978337,,,
Market sell,2021-03-12 20:48:14,US02209S1033,MO,Altria,0.031256,48.67,USD,1.39562,0.07,GBP,1.09,GBP,,,,,,,EOF1186978366,,,
Market sell,2021-03-12 20:48:23,US88579Y1010,MMM,3M,0.0076329,185.3,USD,1.38664,0.02,GBP,1.02,GBP,,,,,,,EOF1186978405,,,
Market sell,2021-03-12 20:48:37,US5590801065,MMP,Magellan Midstream Partners,0.032697,45.28,USD,1.39671,0,GBP,1.06,GBP,,,,,,,EOF1186978449,,,
Market sell,2021-03-12 20:48:39,IE00BTN1Y115,MDT,Medtronic,0.0116959,118.98,USD,1.39157,0,GBP,1,GBP,,,,,,,EOF1186978458,,,
Market sell,2021-03-12 20:48:45,US5801351017,MCD,McDonald's,0.006657,212.51,USD,1.38694,0.02,GBP,1.02,GBP,,,,,,,EOF1186978489,,,
Market sell,2021-03-12 20:48:51,US5021751020,LTC,LTC Properties,0.032565,43.5,USD,1.3888,0.02,GBP,1.02,GBP,,,,,,,EOF1186978513,,,
Market sell,2021-03-12 20:48:59,US56035L1044,MAIN,Main Street Capital,0.03748,38.39,USD,1.39694,0.03,GBP,1.03,GBP,,,,,,,EOF1186978553,,,
Market sell,2021-03-12 20:49:06,US5486611073,LOW,Lowe's,0.0086284,171.21,USD,1.39364,0.06,GBP,1.06,GBP,,,,,,,EOF1186978590,,,
